drug_id,drug_name,target_gene,target_pathway
1836,150412,,Unclassified
1838,Sinularin,,Unclassified
1839,615590,,Unclassified
1840,630600,,Unclassified
1843,Lmp744,TOP1,DNA replication
1844,776928,,Unclassified
1845,Schweinfurthin A,,Unclassified
1847,Ben,,Unclassified
1849,Sabutoclax,"BCL2,  BCL-XL,  BFL1, MCL1",Apoptosis regulation
1852,Ly2109761,TGFB1,Other
1853,Of-1,"BRPF1B, BRPF2",Chromatin histone acetylation
1854,Mn-64,"TNKS1, TNKS2",WNT signaling
1855,Kras (G12C) Inhibitor-12,KRAS (G12C),ERK MAPK signaling
1862,Mg-132,"Proteasome, CAPN1",Protein stability and degradation
1866,Bdp-00009066,MRCKB_HUMAN,Cytoskeleton
1873,Buparlisib,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling
1908,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling
1909,Venetoclax,BCL2,Apoptosis regulation
1910,Abt737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation
1911,Dactinomycin,RNA polymerase,Other
1912,Afuresertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
1913,Agi-5198,IDH1 (R132H),Metabolism
1915,Azd3759,EGFR,EGFR signaling
1916,Azd5363,"AKT1, AKT2, AKT3, ROCK2","Other, kinases"
1917,Azd6738,ATR,Genome integrity
1918,Azd8186,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling
1919,Osimertinib,EGFR,EGFR signaling
1922,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling
1924,Ipatasertib,"AKT1, AKT, AKT3",PI3K/MTOR signaling
1925,Gdc0810,"ESR1, ESR2",Hormone-related
1926,Gne-317,PI3Kalpha,PI3K/MTOR signaling
1927,Gsk2578215A,LRRK2,"Other, kinases"
1928,I-Brd9,BRD9,Chromatin other
1930,Telomerase Inhibitor Ix,Telomerase,Genome integrity
1931,Mira-1,TP53,p53 pathway
1932,Nvp-Adw742,IGF1R,IGF1R signaling
1933,P22077,"USP7, USP47",Protein stability and degradation
1936,Savolitinib,MET,RTK signaling
1939,Umi-77,MCL1,Apoptosis regulation
1940,Wiki4,"TNKS1, TNKS2",WNT signaling
1941,Sepantronium Bromide,BIRC5,Apoptosis regulation
1996,Mim1,MCL1,Apoptosis regulation
1997,Wehi-539,BCL-XL,Apoptosis regulation
1998,Bpd-00008900,,Other
1999,N25720-51-A1,,Unclassified
2000,N27922-53-1,,Unclassified
2002,N30652-18-1,,Unclassified
2003,N29087-69-1,,Unclassified
2010,Hkmti-1-005,,Unclassified
2011,Icl-Sirt078,SIR2,Other
2037,Gsk343,EZH2,Chromatin histone methylation
2038,Unc0638,"G9A, GLP",Chromatin histone methylation
2039,Agk2,"BAZ2A, BAZ2B",Chromatin histone acetylation
2040,Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling
2043,Bibr-1532,TERT,Genome integrity
2044,Pyridostatin,G-quadruplex stabiliser,DNA replication
2045,Amg-319,PI3K (beta sparing),PI3K/MTOR signaling
2046,Mk-8776,"CHEK1, CHEK2, CDK2",Cell cycle
2047,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling
2048,Vinorelbine,Microtubule destabiliser,Mitosis
